"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","INDICATIVE CLOSE 
","PREV. CLOSE 
","PREV. DAY 
 20-Feb-2025","1W AGO 
 14-Feb-2025","1M AGO 
 22-Jan-2025","1Y AGO 
 22-Feb-2024","52W H 
","52W L 
","365 D % CHNG 
 22-Feb-2024","30 D % CHNG 
 22-Jan-2025"
"NIFTY 50","22,795.90","-0.51","22,857.20","22,921.00","22,720.30","-","22,913.15","22,913.15","22,959.50","23,092.20","22,212.70","26,277.35","21,281.45","2.63","-1.28"
"NIFTY NEXT 50","60,466.80","-0.94","60,973.45","61,417.55","60,246.35","-","61,039.10","61,039.10","59,446.55","62,494.00","59,153.75","77,918.00","56,430.85","2.22","-3.24"
"NIFTY 100","23,274.05","-0.59","23,359.90","23,442.35","23,196.70","-","23,411.40","23,411.40","23,343.15","23,660.20","22,734.30","27,335.65","22,003.75","2.37","-1.63"
"NIFTY 200","12,580.35","-0.71","12,644.25","12,699.00","12,538.35","-","12,670.15","12,670.15","12,585.50","12,868.50","12,292.45","14,833.75","11,868.35","2.34","-2.24"
"NIFTY 500","20,690.25","-0.68","20,792.05","20,903.35","20,616.60","-","20,831.10","20,831.10","20,652.35","21,318.90","20,313.50","24,573.40","19,465.85","1.85","-2.95"
"NIFTY MIDCAP 50","14,142.50","-1.26","14,315.35","14,410.65","14,088.65","-","14,323.05","14,323.05","13,996.85","14,827.00","14,062.20","17,066.75","12,837.00","0.57","-4.62"
"NIFTY MIDCAP 100","50,486.20","-1.32","51,099.75","51,555.55","50,308.70","-","51,163.80","51,163.80","49,849.85","53,262.95","49,279.55","60,925.95","45,293.35","2.45","-5.21"
"NIFTY SMALLCAP 100","15,636.90","-0.70","15,730.40","15,982.05","15,566.05","-","15,747.70","15,747.70","15,413.10","16,956.05","16,175.20","19,716.20","14,085.35","-3.33","-7.78"
"INDIA VIX","14.53","-1.03","14.68","15.24","12.08","-","14.68","14.68","15.72","16.75","14.97","31.71","9.47","-2.96","-13.23"
"NIFTY MIDCAP 150","18,681.35","-1.10","18,869.80","19,039.85","18,604.10","-","18,888.80","18,888.80","18,408.45","19,708.95","18,149.05","22,515.40","16,717.95","2.93","-5.21"
