Company Name,Industry,Symbol,Series,ISIN Code
ACME Solar Holdings Ltd.,Power,ACMESOLAR,EQ,INE622W01025
Aadhar Housing Finance Ltd.,Financial Services,AADHARHFC,EQ,INE883F01010
Afcons Infrastructure Ltd.,Construction,AFCONS,EQ,INE101I01011
Ajax Engineering Ltd.,Capital Goods,AJAXENGG,EQ,INE274Y01021
Akme Fintrade (India) Ltd.,Financial Services,AFIL,EQ,INE916Y01027
Akums Drugs and Pharmaceuticals Ltd.,Healthcare,AKUMS,EQ,INE09XN01023
Allied Blenders and Distillers Ltd.,Fast Moving Consumer Goods,ABDL,EQ,INE552Z01027
Apeejay Surrendra Park Hotels Ltd.,Consumer Services,PARKHOTELS,EQ,INE988S01028
Arkade Developers Ltd.,Realty,ARKADE,EQ,INE0QRL01017
Ather Energy Ltd.,Automobile and Auto Components,ATHERENERG,EQ,INE0LEZ01016
Awfis Space Solutions Ltd.,Services,AWFIS,EQ,INE108V01019
BLS E-Services Ltd.,Information Technology,BLSE,EQ,INE0NLT01010
Baazar Style Retail Ltd.,Consumer Services,STYLEBAAZA,EQ,INE01FR01028
Bajaj Housing Finance Ltd.,Financial Services,BAJAJHFL,EQ,INE377Y01014
Bansal Wire Industries Ltd.,Capital Goods,BANSALWIRE,EQ,INE0B9K01025
Belrise Industries Ltd.,Automobile and Auto Components,BELRISE,EQ,INE894V01022
Bharti Hexacom Ltd.,Telecommunication,BHARTIHEXA,EQ,INE343G01021
Brainbees Solutions Ltd.,Consumer Services,FIRSTCRY,EQ,INE02RE01045
Capital Small Finance Bank Ltd.,Financial Services,CAPITALSFB,EQ,INE646H01017
Carraro India Ltd.,Automobile and Auto Components,CARRARO,EQ,INE0V7W01012
Ceigall India Ltd.,Construction,CEIGALL,EQ,INE0AG901020
Concord Enviro Systems Ltd.,Utilities,CEWATER,EQ,INE037Z01029
DEE Development Engineers Ltd.,Capital Goods,DEEDEV,EQ,INE841L01016
Dam Capital Advisors Ltd.,Financial Services,DAMCAPITAL,EQ,INE284H01025
Deepak Builders & Engineers India Ltd.,Construction,DBEIL,EQ,INE0OPA01019
Denta Water and Infra Solutions Ltd.,Utilities,DENTA,EQ,INE0R4L01018
Diffusion Engineers Ltd.,Capital Goods,DIFFNKG,EQ,INE184O01015
Dr. Agarwal's Health Care Ltd.,Healthcare,AGARWALEYE,EQ,INE943P01029
EPACK Durable Ltd.,Consumer Durables,EPACK,EQ,INE0G5901015
Ecos (India) Mobility & Hospitality Ltd.,Services,ECOSMOBLTY,EQ,INE06HJ01020
Emcure Pharmaceuticals Ltd.,Healthcare,EMCURE,EQ,INE168P01015
Entero Healthcare Solutions Ltd.,Consumer Services,ENTERO,EQ,INE010601016
Enviro Infra Engineers Ltd.,Utilities,EIEL,EQ,INE0LLY01014
Exicom Tele-Systems Ltd.,Capital Goods,EXICOM,EQ,INE777F01014
GPT Healthcare Ltd.,Healthcare,GPTHEALTH,EQ,INE486R01017
Gala Precision Engineering Ltd.,Capital Goods,GALAPREC,EQ,INE0RE001014
Garuda Construction and Engineering Ltd.,Construction,GARUDA,EQ,INE0JVO01026
Go Digit General Insurance Ltd.,Financial Services,GODIGIT,EQ,INE03JT01014
Godavari Biorefineries Ltd.,Fast Moving Consumer Goods,GODAVARIB,EQ,INE497S01012
Gopal Snacks Ltd.,Fast Moving Consumer Goods,GOPAL,EQ,INE0L9R01028
Hexaware Technologies Ltd.,Information Technology,HEXT,EQ,INE093A01041
Hyundai Motor India Ltd.,Automobile and Auto Components,HYUNDAI,EQ,INE0V6F01027
Indegene Ltd.,Healthcare,INDGN,EQ,INE065X01017
Indo Farm Equipment Ltd.,Capital Goods,INDOFARM,BE,INE622H01018
Innova Captab Ltd.,Healthcare,INNOVACAP,EQ,INE0DUT01020
Interarch Building Solutions Ltd.,Construction,INTERARCH,EQ,INE00M901018
International Gemmological Institute (India) Ltd.,Services,IGIL,EQ,INE0Q9301021
Inventurus Knowledge Solutions Ltd.,Information Technology,IKS,EQ,INE115Q01022
J.G.Chemicals Ltd.,Chemicals,JGCHEM,EQ,INE0MB501011
JNK India Ltd.,Capital Goods,JNKINDIA,EQ,INE0OAF01028
Jana Small Finance Bank Ltd.,Financial Services,JSFB,EQ,INE953L01027
Juniper Hotels Ltd.,Consumer Services,JUNIPER,EQ,INE696F01016
Jyoti CNC Automation Ltd.,Capital Goods,JYOTICNC,EQ,INE980O01024
KRN Heat Exchanger and Refrigeration Ltd.,Capital Goods,KRN,EQ,INE0Q3J01015
Kronox Lab Sciences Ltd.,Chemicals,KRONOX,EQ,INE0ATZ01017
Kross Ltd.,Automobile and Auto Components,KROSS,EQ,INE0O6601022
Krystal Integrated Services Ltd.,Services,KRYSTAL,BE,INE0QN801017
Laxmi Dental Ltd.,Healthcare,LAXMIDENTL,EQ,INE0WO601020
Le Travenues Technology Ltd.,Consumer Services,IXIGO,EQ,INE0HV901016
Mamata Machinery Ltd.,Capital Goods,MAMATA,EQ,INE0TO701015
Manba Finance Ltd.,Financial Services,MANBA,EQ,INE939X01013
Medi Assist Healthcare Services Ltd.,Financial Services,MEDIASSIST,EQ,INE456Z01021
Mukka Proteins Ltd.,Fast Moving Consumer Goods,MUKKA,EQ,INE0CG401037
NTPC Green Energy Ltd.,Power,NTPCGREEN,EQ,INE0ONG01011
Niva Bupa Health Insurance Company Ltd.,Financial Services,NIVABUPA,EQ,INE995S01015
Northern Arc Capital Ltd.,Financial Services,NORTHARC,EQ,INE850M01015
Nova Agritech Ltd.,Chemicals,NOVAAGRI,EQ,INE02H701025
Ola Electric Mobility Ltd.,Automobile and Auto Components,OLAELEC,EQ,INE0LXG01040
One Mobikwik Systems Ltd.,Financial Services,MOBIKWIK,EQ,INE0HLU01028
Orient Technologies Ltd.,Information Technology,ORIENTTECH,EQ,INE0PPK01015
P N Gadgil Jewellers Ltd.,Consumer Durables,PNGJL,EQ,INE953R01016
Platinum Industries Ltd.,Chemicals,PLATIND,EQ,INE0PT501018
Popular Vehicles and Services Ltd.,Automobile and Auto Components,PVSL,EQ,INE772T01024
Premier Energies Ltd.,Capital Goods,PREMIERENE,EQ,INE0BS701011
Quadrant Future Tek Ltd.,Capital Goods,QUADFUTURE,EQ,INE0LRY01011
Quality Power Electrical Equipments Ltd.,Capital Goods,QPOWER,EQ,INE0SII01026
R K Swamy Ltd.,Media Entertainment & Publication,RKSWAMY,EQ,INE0NQ801033
Rashi Peripherals Ltd.,Information Technology,RPTECH,EQ,INE0J1F01024
Sagility India Ltd.,Information Technology,SAGILITY,EQ,INE0W2G01015
Sai Life Sciences Ltd.,Healthcare,SAILIFE,EQ,INE570L01029
Sanathan Textiles Ltd.,Textiles,SANATHAN,EQ,INE0JPD01013
Sanstar Ltd.,Fast Moving Consumer Goods,SANSTAR,EQ,INE08NE01025
Saraswati Saree Depot Ltd.,Textiles,SSDL,EQ,INE0PQ101010
Senores Pharmaceuticals Ltd.,Healthcare,SENORES,EQ,INE0RB801010
Shree Tirupati Balajee Agro Trading Company Ltd.,Capital Goods,BALAJEE,EQ,INE0S2G01011
Stallion India Fluorochemicals Ltd.,Chemicals,STALLION,BE,INE0RYC01010
Standard Glass Lining Technology Ltd.,Capital Goods,SGLTL,EQ,INE0M4D01010
Stanley Lifestyles Ltd.,Consumer Durables,STANLEY,EQ,INE01A001028
Suraksha Diagnostic Ltd.,Healthcare,SURAKSHA,EQ,INE877V01027
Swiggy Ltd.,Consumer Services,SWIGGY,EQ,INE00H001014
TBO Tek Ltd.,Consumer Services,TBOTEK,EQ,INE673O01025
Tolins Tyres Ltd.,Automobile and Auto Components,TOLINS,BE,INE0RWQ01014
Transrail Lighting Ltd.,Capital Goods,TRANSRAILL,EQ,INE454P01035
Unicommerce Esolutions Ltd.,Information Technology,UNIECOM,EQ,INE00U401027
Unimech Aerospace and Manufacturing Ltd.,Capital Goods,UNIMECH,EQ,INE0U3I01011
Ventive Hospitality Ltd.,Consumer Services,VENTIVE,EQ,INE781S01027
Vibhor Steel Tubes Ltd.,Capital Goods,VSTL,EQ,INE0QTF01015
Vishal Mega Mart Ltd.,Consumer Services,VMM,EQ,INE01EA01019
Vraj Iron and Steel Ltd.,Metals & Mining,VRAJ,EQ,INE0S2V01010
Waaree Energies Ltd.,Capital Goods,WAAREEENER,EQ,INE377N01017
Western Carriers (India) Ltd.,Services,WCIL,EQ,INE0CJF01024
Zinka Logistics Solutions Ltd.,Services,BLACKBUCK,EQ,INE0UIZ01018
